scenario,scenario_label,rep,u_mean,u_sd,u_skew,u_excess_kurtosis,u_q01,u_q05,u_q50,u_q95,u_q99,contam_share
N0,N0 Normal,1,0.04144669829213876,1.0255454160343682,0.04509880442559176,-0.22859553052768655,-2.268465205714601,-1.7484098104619938,-0.025605328957191517,1.870220512012272,2.3203679938327118,
N1,N1 Severe skewness,1,-0.051297382447632614,0.9193711805585092,2.7379572902227647,10.128232840660072,-0.7064367618779962,-0.7029734524992078,-0.3940901108345546,1.7776243442799355,3.3781422331982967,
N2,N2 Extreme t3 tails,1,-0.005624501310471679,0.9916679155296263,1.083819431528784,11.134117868272863,-2.4572776909236675,-1.3791483722652598,-0.01701864363553783,1.2622748285651486,3.251736545305374,
N3,N3 One-sided contamination,1,-0.03355607221428527,1.008863237627911,3.865775739730886,21.394128775177983,-1.3961026605319709,-1.0842313326570174,-0.1302858226636759,0.9444520700921492,5.8114866663034865,0.018
N0,N0 Normal,2,-0.03171081265079794,1.0567846949816078,0.12388229667120912,0.2907185087902291,-2.3036147679849015,-1.7926166979313571,-0.016952275139543907,1.6476128368102834,2.759241137100751,
N1,N1 Severe skewness,2,-0.006809974474057239,0.9704466434325599,2.4749844179611493,8.131442596785984,-0.7070500502103684,-0.7037563325232438,-0.3919943960924751,2.1285297739439857,3.5964033947660865,
N2,N2 Extreme t3 tails,2,-0.003352176720348129,0.8460735916004314,-0.01791879185324865,3.6891258150530195,-2.246858944116719,-1.3702225317786239,0.025671767807144967,1.2935071613836162,2.430768439621409,
N3,N3 One-sided contamination,2,-0.012022170439746818,0.9669705997900656,3.4959689813538817,19.1713565693455,-1.5469330670621726,-1.0777358711203617,-0.09256430725329995,0.935946159442917,5.429227697308783,0.018
N0,N0 Normal,3,-0.001042412512102814,0.9645503766516268,0.09153626587176691,0.25796620294331385,-2.023906458531704,-1.6517332206164692,-0.008972465633374865,1.5656010018037145,2.0767105166601136,
N1,N1 Severe skewness,3,-0.06444131864290165,0.8604440341984112,2.3471371495468936,6.497689967925256,-0.7069911824397671,-0.704488252216786,-0.3733708064194855,1.8939638244246066,3.316148176650732,
N2,N2 Extreme t3 tails,3,0.009455395867257731,0.9077961976552802,0.17974426310893835,6.252142821252283,-2.2036942708058223,-1.4258037434594486,-0.003225568013062117,1.4878453555437028,2.5739472101391727,
N3,N3 One-sided contamination,3,0.0001344095651941508,1.1063139833192892,3.6339656053006784,17.36296538451803,-1.5067789210344806,-1.1017443239410392,-0.11866067100944125,0.9333621111690551,5.873078345778554,0.026
N0,N0 Normal,4,0.026828478945947778,0.9942824024198003,-0.14704718090939736,-0.032518545097186546,-2.3884249724304314,-1.5939980066961572,0.0439031371792223,1.6217774445201987,2.238305326822558,
N1,N1 Severe skewness,4,0.09213817968703894,1.1399816314131022,2.765856456137888,10.425174549585021,-0.7070486303221698,-0.7049383305527959,-0.34155814758707176,2.5672387879495546,4.0026375436602715,
N2,N2 Extreme t3 tails,4,-0.08272824851925628,1.0208452975824545,-0.21009735444195912,11.516586761373826,-3.0029202595277926,-1.493222757384122,-0.021237191214148007,1.438986636968583,2.47410432255472,
N3,N3 One-sided contamination,4,0.023957708036224063,1.1415855179765666,3.7810193498673206,18.1427217337476,-1.4154544406993783,-1.0699275361174974,-0.10575848059759076,1.0185946444307146,6.224864693855676,0.026
N0,N0 Normal,5,0.04382988709029138,0.9657656259040069,-0.13512424751886207,-0.10588403095064969,-2.1276159417484637,-1.6712991091179101,0.07798236802884868,1.6388353790640213,2.236498030346295,
N1,N1 Severe skewness,5,0.12322527142019836,1.166555319217946,2.69870839353228,9.090844469443331,-0.7070237986920069,-0.7004372785819019,-0.32625882897452496,2.2111772230912203,5.088894816259807,
N2,N2 Extreme t3 tails,5,-0.035491649204671676,0.9611051885368653,-0.9337156701606307,9.899768331833702,-2.8492410501676138,-1.398018994974558,-0.0021775510085384826,1.328514415735182,2.327901884314354,
N3,N3 One-sided contamination,5,0.05375154462212352,1.0108268865214785,3.8188428416718923,19.34711159431363,-1.2139960642720131,-0.9472960697006063,-0.07607102568352384,0.9419044385849974,5.627614959879438,0.024
N0,N0 Normal,6,0.04884248682028617,0.9986912532773734,-0.009090526273966426,-0.22833348259811626,-2.1493960899202373,-1.5883968013624172,0.06892618677928614,1.6352646327401914,2.2339612476831325,
N1,N1 Severe skewness,6,-0.08432335155278223,0.8765804836471032,2.759724398223607,9.462840221115556,-0.7068783844735761,-0.7021446393502158,-0.39600929855953587,1.66503093179711,3.5391327100851804,
N2,N2 Extreme t3 tails,6,0.017795715558088544,0.8785093347453802,-0.360908790255875,4.790251880175298,-2.486306390794923,-1.2985034762353516,0.0004233497027999433,1.3435245221406826,2.395227657731853,
N3,N3 One-sided contamination,6,0.013424071438854688,0.9698334072236008,3.6591796459183783,20.063204559651336,-1.2861489126183243,-1.0304447742953255,-0.11203780360614071,0.9619602529159935,5.355166469951951,0.02
N0,N0 Normal,7,0.015787937473462684,0.9555843761019039,-0.19360270151826442,0.3436208798295648,-2.5938472131492594,-1.6018537897342189,0.05115009351042177,1.6265817231155275,2.1776743365186486,
N1,N1 Severe skewness,7,-0.06595306065018117,0.9683905824727264,3.2295421406182387,14.949317147276211,-0.7070020048630169,-0.7042466813313167,-0.44740971290155673,1.6547592617618687,3.7137222573577193,
N2,N2 Extreme t3 tails,7,-0.040972490049721005,0.9507261988651713,-0.5681426527866943,6.015952037355586,-2.9641236204241315,-1.62936742657074,0.0037678599538355844,1.203567223608462,2.4121065373519905,
N3,N3 One-sided contamination,7,0.04232463271206816,1.0823920307603312,3.590548792728384,17.21726523128277,-1.3327539943363982,-1.028487222095827,-0.13438619636376492,1.1032183532445632,5.6514537656554324,0.026
N0,N0 Normal,8,0.05840687419148912,0.991019552357182,-0.025255852726510142,-0.09168575607361396,-2.210922702616859,-1.664339058067095,0.10306244207822624,1.6189528666477764,2.4766756909334875,
N1,N1 Severe skewness,8,0.0002721263392160545,0.9029470604119548,2.285777675728343,6.367756324465351,-0.7068361908023483,-0.7029806269290165,-0.32631606653590084,2.0591625879478483,3.6854140597018614,
N2,N2 Extreme t3 tails,8,0.007196666773318295,0.8246104287009935,0.4553971400664951,6.17671347799944,-2.19831162395938,-1.160074612184905,-0.025411695523602493,1.2244651980921575,2.084100317461072,
N3,N3 One-sided contamination,8,0.0018822556474175514,1.0186829952097882,3.7201255687230557,18.52229020520459,-1.3805081027397987,-1.0394186565447447,-0.1029287149130717,0.8698914115013512,5.777009769832436,0.024
N0,N0 Normal,9,-0.031337901445943075,0.9483937023060719,-0.0005842772101696312,-0.37766289884303195,-2.042324077217921,-1.6395241927422237,-0.021496498480134796,1.5652744269171173,1.9880978082785532,
N1,N1 Severe skewness,9,0.01880019920068824,1.0016068250068995,2.97082986263912,13.144733488285315,-0.7069752565346156,-0.7053410502505416,-0.3378042108604949,2.0148792277190286,4.063658688648034,
N2,N2 Extreme t3 tails,9,-0.030212563609107557,0.8769431592631374,-0.6618715263147208,5.1941837337463035,-2.9752262224982258,-1.2855697274625955,-0.019393310019726724,1.1998471898962604,2.251183232623744,
