n,regime,method,frontier_failure_reason,count,share_within_scenario_method
500,continuous,Bias-aware/Honest,ok,5000,1.0
500,continuous,Conventional MSE,ok,5000,1.0
500,continuous,RBC MSE,ok,5000,1.0
500,fixed_delta_0.01,Bias-aware/Honest,ok,5000,1.0
500,fixed_delta_0.01,Conventional MSE,ok,5000,1.0
500,fixed_delta_0.01,RBC MSE,ok,5000,1.0
500,fixed_delta_0.015,Bias-aware/Honest,ok,5000,1.0
500,fixed_delta_0.015,Conventional MSE,ok,5000,1.0
500,fixed_delta_0.015,RBC MSE,ok,5000,1.0
500,fixed_delta_0.02,Bias-aware/Honest,ok,5000,1.0
500,fixed_delta_0.02,Conventional MSE,ok,5000,1.0
500,fixed_delta_0.02,RBC MSE,ok,5000,1.0
500,fixed_delta_0.025,Bias-aware/Honest,ok,5000,1.0
500,fixed_delta_0.025,Conventional MSE,ok,5000,1.0
500,fixed_delta_0.025,RBC MSE,ok,5000,1.0
500,fixed_delta_0.03,Bias-aware/Honest,ok,4998,0.9996
500,fixed_delta_0.03,Bias-aware/Honest,too_few_obs_h,2,0.0004
500,fixed_delta_0.03,Conventional MSE,ok,4998,0.9996
500,fixed_delta_0.03,Conventional MSE,too_few_obs_h,2,0.0004
500,fixed_delta_0.03,RBC MSE,ok,4998,0.9996
500,fixed_delta_0.03,RBC MSE,too_few_obs_h,2,0.0004
500,fixed_delta_0.035,Bias-aware/Honest,ok,4997,0.9994
500,fixed_delta_0.035,Bias-aware/Honest,too_few_obs_h,3,0.0006
500,fixed_delta_0.035,Conventional MSE,ok,4997,0.9994
500,fixed_delta_0.035,Conventional MSE,too_few_obs_h,3,0.0006
500,fixed_delta_0.035,RBC MSE,ok,4997,0.9994
500,fixed_delta_0.035,RBC MSE,too_few_obs_h,3,0.0006
500,fixed_delta_0.04,Bias-aware/Honest,ok,4999,0.9998
500,fixed_delta_0.04,Bias-aware/Honest,too_few_obs_h,1,0.0002
500,fixed_delta_0.04,Conventional MSE,ok,4999,0.9998
500,fixed_delta_0.04,Conventional MSE,too_few_obs_h,1,0.0002
500,fixed_delta_0.04,RBC MSE,ok,4999,0.9998
500,fixed_delta_0.04,RBC MSE,too_few_obs_h,1,0.0002
500,fixed_delta_0.045,Bias-aware/Honest,ok,5000,1.0
500,fixed_delta_0.045,Conventional MSE,ok,5000,1.0
500,fixed_delta_0.045,RBC MSE,ok,5000,1.0
500,fixed_delta_0.05,Bias-aware/Honest,ok,4998,0.9996
500,fixed_delta_0.05,Bias-aware/Honest,nan_ci,1,0.0002
500,fixed_delta_0.05,Bias-aware/Honest,raw_failure,1,0.0002
500,fixed_delta_0.05,Conventional MSE,ok,4998,0.9996
500,fixed_delta_0.05,Conventional MSE,nan_ci,1,0.0002
500,fixed_delta_0.05,Conventional MSE,raw_failure,1,0.0002
500,fixed_delta_0.05,RBC MSE,ok,4998,0.9996
500,fixed_delta_0.05,RBC MSE,insufficient_unique_h,1,0.0002
500,fixed_delta_0.05,RBC MSE,raw_failure,1,0.0002
500,fixed_delta_0.055,Bias-aware/Honest,ok,4991,0.9982
500,fixed_delta_0.055,Bias-aware/Honest,raw_failure,7,0.0014
500,fixed_delta_0.055,Bias-aware/Honest,nan_ci,2,0.0004
500,fixed_delta_0.055,Conventional MSE,ok,4991,0.9982
