n,delta,regime,method,coverage,coverage_conditional_on_raw_success,median_ci_length,avg_ci_length,minimal_usability_rate,n_minimal_usable,display_ok,avg_bias_bound,raw_success_rate
500,0.0,continuous,Bias-aware/Honest,0.9956,0.9956,0.5010788014338661,0.5157700265133552,1.0,5000.0,True,0.12352170427913488,1.0
500,0.01,fixed_delta_0.01,Bias-aware/Honest,0.9974,0.9974,0.5168337655534652,0.5323544296857775,1.0,5000.0,True,0.13300354463652755,1.0
500,0.015,fixed_delta_0.015,Bias-aware/Honest,0.9978,0.9978,0.523937477404925,0.5392680584414499,1.0,5000.0,True,0.13581369114275257,1.0
500,0.02,fixed_delta_0.02,Bias-aware/Honest,0.9968,0.9968,0.5304043702497077,0.5495567818601982,1.0,5000.0,True,0.14026363164869324,1.0
500,0.025,fixed_delta_0.025,Bias-aware/Honest,0.9982,0.9982,0.5459187691435332,0.5636153018908814,1.0,5000.0,True,0.14593406585496468,1.0
500,0.03,fixed_delta_0.03,Bias-aware/Honest,0.9978,0.9978,0.5472235845247009,0.5672936629835906,1.0,5000.0,True,0.14573781666956206,1.0
500,0.035,fixed_delta_0.035,Bias-aware/Honest,0.9984,0.9984,0.5651875984099091,0.5832512698922623,1.0,5000.0,True,0.15186866414619515,1.0
500,0.04,fixed_delta_0.04,Bias-aware/Honest,0.9994,0.9994,0.6188338521882852,0.627537399184542,1.0,5000.0,True,0.17001974560007466,1.0
500,0.045,fixed_delta_0.045,Bias-aware/Honest,0.9996,0.9996,0.6832072120233366,0.6891354504430492,1.0,5000.0,True,0.19945263808981512,1.0
500,0.05,fixed_delta_0.05,Bias-aware/Honest,0.9997999199679872,0.9997999199679872,0.7591662869196676,0.7640900286010077,0.9996,4998.0,True,0.24117195373124822,0.9996
500,0.055,fixed_delta_0.055,Bias-aware/Honest,1.0,1.0,0.8472555405647206,0.8513577513549401,0.9982,4991.0,True,0.29034581752512256,0.9982
500,0.06,fixed_delta_0.06,Bias-aware/Honest,1.0,1.0,0.9467536417690816,0.9503174851411534,0.991,4955.0,True,0.3452283434639652,0.991
500,0.065,fixed_delta_0.065,Bias-aware/Honest,1.0,1.0,1.0577094070284565,1.0606839494099853,0.973,4865.0,True,0.40504919083133045,0.973
500,0.07,fixed_delta_0.07,Bias-aware/Honest,1.0,1.0,1.179604747655922,1.1819636182716664,0.9336,4668.0,True,0.46968614305109074,0.9336
500,0.075,fixed_delta_0.075,Bias-aware/Honest,1.0,1.0,1.311592797124332,1.3141617383225495,0.857,4285.0,True,0.5391478124999597,0.857
500,0.08,fixed_delta_0.08,Bias-aware/Honest,1.0,1.0,1.4544344244857168,1.4566434763009857,0.7388,3694.0,False,0.6134303999999284,0.7388
500,0.09,fixed_delta_0.09,Bias-aware/Honest,1.0,1.0,1.7687678419393609,1.7711060779985006,0.5272,2636.0,False,0.7763728499999322,0.5272
500,0.1,fixed_delta_0.1,Bias-aware/Honest,1.0,1.0,2.1238189095405358,2.1253811909670346,0.4202,2101.0,False,0.9584849999999308,0.4202
500,0.12,fixed_delta_0.12,Bias-aware/Honest,1.0,1.0,2.9608774767339154,2.9611239257061293,0.0096,48.0,False,1.38021839999989,0.0096
500,0.0,continuous,RBC MSE,0.9374,0.9374,0.3243965570240448,0.34443109084351003,1.0,5000.0,True,,1.0
500,0.01,fixed_delta_0.01,RBC MSE,0.9468,0.9468,0.3314014878806715,0.35600291375310766,1.0,5000.0,True,,1.0
500,0.015,fixed_delta_0.015,RBC MSE,0.9392,0.9392,0.3264045992199977,0.35179945140125574,1.0,5000.0,True,,1.0
500,0.02,fixed_delta_0.02,RBC MSE,0.9392,0.9392,0.31813600942219894,0.35141550054725146,1.0,5000.0,True,,1.0
500,0.025,fixed_delta_0.025,RBC MSE,0.9306,0.9306,0.3148387146927396,0.34438614897440883,1.0,5000.0,True,,1.0
500,0.03,fixed_delta_0.03,RBC MSE,0.9248,0.9248,0.31680280033422376,0.33748116041799076,1.0,5000.0,True,,1.0
500,0.035,fixed_delta_0.035,RBC MSE,0.9304,0.9304,0.32244606069350246,0.338593299871255,1.0,5000.0,True,,1.0
500,0.04,fixed_delta_0.04,RBC MSE,0.9282,0.9282,0.33301323296416324,0.344002641590988,1.0,5000.0,True,,1.0
500,0.045,fixed_delta_0.045,RBC MSE,0.929,0.929,0.33764405727810365,0.34609611663833284,1.0,5000.0,True,,1.0
500,0.05,fixed_delta_0.05,RBC MSE,0.9265706282513005,0.9265853170634126,0.3324749479298794,0.3388950869043871,0.9996,4998.0,True,,0.9998
500,0.055,fixed_delta_0.055,RBC MSE,0.9250651172109797,0.9250801282051282,0.3259620380956534,0.33121311435774414,0.9982,4991.0,True,,0.9984
500,0.06,fixed_delta_0.06,RBC MSE,0.9186680121089809,0.9187663777464221,0.3181886793776485,0.3220180017045721,0.991,4955.0,True,,0.9922
500,0.065,fixed_delta_0.065,RBC MSE,0.9003083247687564,0.9009193054136875,0.3100362279359698,0.31331288773427807,0.973,4865.0,True,,0.979
500,0.07,fixed_delta_0.07,RBC MSE,0.8755355612682091,0.8770630554380026,0.3032962425916419,0.30594122704193083,0.9336,4668.0,True,,0.9452
500,0.075,fixed_delta_0.075,RBC MSE,0.8277712952158693,0.8320436959490214,0.2988974438964673,0.3014494775600124,0.857,4285.0,True,,0.8788
500,0.08,fixed_delta_0.08,RBC MSE,0.7723335138061722,0.7855138995154297,0.29565463772370704,0.2989407657997951,0.7388,3694.0,False,,0.7842
500,0.09,fixed_delta_0.09,RBC MSE,0.5906676783004552,0.643894389438944,0.2918108000152273,0.29427090757932106,0.5272,2636.0,False,,0.606
500,0.1,fixed_delta_0.1,RBC MSE,0.376011423131842,0.4988532110091743,0.2832225040736897,0.2847344987843003,0.4202,2101.0,False,,0.5232
500,0.12,fixed_delta_0.12,RBC MSE,0.0,0.946725860155383,0.2940112203675884,0.29694171389743373,0.0096,48.0,False,,0.1802
