n,support_bin,method,n_rows,n_success,n_minimal_usable,n_frontier_display_ok,success_rate,minimal_usability_rate,coverage,coverage_conditional_on_raw_success,coverage_conditional_on_minimal_usable,coverage_conditional_on_frontier_display_ok,mc_se_coverage,coverage_unconditional,avg_ci_length,median_ci_length,p95_ci_length,p99_ci_length,pathological_length_rate,formal_support_ok_rate,coverage_display_ok_rate,avg_local_support_score,avg_min_unique_h,avg_min_unique_b,avg_obs_h_left,avg_obs_h_right,avg_obs_b_left,avg_obs_b_right
500,0-2,Bias-aware/Honest,47764,43304,43304,0,0.9066242358261453,0.9066242358261453,0.999838352115278,0.999838352115278,0.999838352115278,,6.109221924927475e-05,0.9064776819361863,1.0989689360385317,1.0287809476328578,1.8433087871277336,2.1437388460086857,0.0,0.9066242358261453,0.0,1.9066242358261452,1.9066242358261452,4.187149317477598,44.61211372581861,34.09858889540239,108.8482120425425,62.21405242442007
500,3-4,Bias-aware/Honest,18476,18476,18476,0,1.0,1.0,0.9981597748430396,0.9981597748430396,0.9981597748430396,,0.0003153054931871516,0.9981597748430396,0.5910970238334173,0.577887318637996,0.7887711760204834,0.9571103788478499,0.0,1.0,0.0,3.3476401818575447,3.3476401818575447,7.226455942844772,37.3085624594068,29.887205022732193,87.72012340333406,55.357707295951506
500,5-7,Bias-aware/Honest,9878,9878,9878,9355,1.0,1.0,0.9975703583721401,0.9975703583721401,0.9975703583721401,0.9978621058257616,0.0004953456655183798,0.9975703583721401,0.5513108610962799,0.5342573605322647,0.7771224311344369,0.933617693905969,0.0,1.0,0.9470540595262199,5.808766956873861,5.808766956873861,12.626847539987851,36.410002024701356,29.056894108119053,87.45849362219073,54.98876290747115
500,8-12,Bias-aware/Honest,5543,5543,5543,5370,1.0,1.0,0.9983763305069457,0.9983763305069457,0.9983763305069457,0.9985102420856611,0.0005407836020825344,0.9983763305069457,0.5451156085499561,0.5293886561953096,0.7605190632544364,0.8982319369699786,0.0,1.0,0.9687894641890673,9.38156233086776,9.38156233086776,19.84124120512358,37.08028143604546,29.786758073245537,88.5307595165073,55.673822839617536
500,13+,Bias-aware/Honest,5040,5040,5040,4675,1.0,1.0,0.9956349206349207,0.9956349206349207,0.9956349206349207,0.9967914438502674,0.0009286046717265442,0.9956349206349207,0.5165382355256739,0.502137133065022,0.727953238578693,0.8780448207682598,0.0,1.0,0.9275793650793651,26.876984126984127,26.876984126984127,53.49880952380953,34.47063492063492,28.041071428571428,84.41527777777777,53.87103174603175
500,missing,Bias-aware/Honest,8299,0,0,0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,
500,0-2,Conventional MSE,47764,45484,43304,0,0.9522653044133658,0.9066242358261453,0.4469263916981796,0.4469263916981796,0.4191067799741363,,0.0023312032654029704,0.4255924964408341,171962.19019181837,0.25991958834727885,0.500272259593915,5300431.444178002,0.045620132317226364,0.9066242358261453,0.0,1.9066242358261452,1.9066242358261452,4.187149317477598,44.61211372581861,34.09858889540239,108.8482120425425,62.21405242442007
500,3-4,Conventional MSE,18476,18476,18476,0,1.0,1.0,0.7636393158692357,0.7636393158692357,0.7636393158692357,,0.0031255595829621508,0.7636393158692357,0.3009703306004761,0.28324661456452555,0.42334511825215637,0.7628221338588952,0.0,1.0,0.0,3.3476401818575447,3.3476401818575447,7.226455942844772,37.3085624594068,29.887205022732193,87.72012340333406,55.357707295951506
500,5-7,Conventional MSE,9878,9878,9878,9355,1.0,1.0,0.8329621380846325,0.8329621380846325,0.8329621380846325,0.8269374665954036,0.0037530606340033437,0.8329621380846325,0.3201637728417658,0.29142159368518517,0.540234202755,0.7385533748956349,0.0,1.0,0.9470540595262199,5.808766956873861,5.808766956873861,12.626847539987851,36.410002024701356,29.056894108119053,87.45849362219073,54.98876290747115
500,8-12,Conventional MSE,5543,5543,5543,5370,1.0,1.0,0.830957965000902,0.830957965000902,0.830957965000902,0.8277467411545624,0.005034014293805715,0.830957965000902,0.32053305945163363,0.2991657750570393,0.5079618050174385,0.708492946157069,0.0,1.0,0.9687894641890673,9.38156233086776,9.38156233086776,19.84124120512358,37.08028143604546,29.786758073245537,88.5307595165073,55.673822839617536
500,13+,Conventional MSE,5040,5040,5040,4675,1.0,1.0,0.8682539682539683,0.8682539682539683,0.8682539682539683,0.8626737967914438,0.004764056371221447,0.8682539682539683,0.3147830613005711,0.2964443926221758,0.49285718558406827,0.6623499231924217,0.0,1.0,0.9275793650793651,26.876984126984127,26.876984126984127,53.49880952380953,34.47063492063492,28.041071428571428,84.41527777777777,53.87103174603175
500,missing,Conventional MSE,8299,0,0,0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,
500,0-2,RBC MSE,47764,45498,43304,0,0.9525584121932836,0.9066242358261453,0.8591586443360147,0.8591586443360147,0.8520229078145206,,0.0016308184915720108,0.8183987940708484,211645.0158802385,0.3152885863588319,0.5632297113303145,6404650.800832409,0.04593417636713843,0.9066242358261453,0.0,1.9066242358261452,1.9066242358261452,4.187149317477598,44.61211372581861,34.09858889540239,108.8482120425425,62.21405242442007
500,3-4,RBC MSE,18476,18476,18476,0,1.0,1.0,0.9189759688244209,0.9189759688244209,0.9189759688244209,,0.0020074975502200024,0.9189759688244209,0.33739553221149254,0.31828133977333684,0.4703186662506207,0.8487872080414001,0.0,1.0,0.0,3.3476401818575447,3.3476401818575447,7.226455942844772,37.3085624594068,29.887205022732193,87.72012340333406,55.357707295951506
500,5-7,RBC MSE,9878,9878,9878,9355,1.0,1.0,0.9359182020651954,0.9359182020651954,0.9359182020651954,0.9361838588989845,0.002464062844241042,0.9359182020651954,0.35320693746758236,0.3216014199709121,0.5998828655975397,0.8167900974376513,0.0,1.0,0.9470540595262199,5.808766956873861,5.808766956873861,12.626847539987851,36.410002024701356,29.056894108119053,87.45849362219073,54.98876290747115
500,8-12,RBC MSE,5543,5543,5543,5370,1.0,1.0,0.9390221901497384,0.9390221901497384,0.9390221901497384,0.9381750465549348,0.0032140409009915826,0.9390221901497384,0.35228831625591,0.3286176419015705,0.5570070827259817,0.7781777662538728,0.0,1.0,0.9687894641890673,9.38156233086776,9.38156233086776,19.84124120512358,37.08028143604546,29.786758073245537,88.5307595165073,55.673822839617536
500,13+,RBC MSE,5040,5040,5040,4675,1.0,1.0,0.9359126984126984,0.9359126984126984,0.9359126984126984,0.9379679144385027,0.0034497561267198638,0.9359126984126984,0.34387178129377344,0.3240375189118847,0.5388111263222205,0.7167856957719148,0.0,1.0,0.9275793650793651,26.876984126984127,26.876984126984127,53.49880952380953,34.47063492063492,28.041071428571428,84.41527777777777,53.87103174603175
500,missing,RBC MSE,8299,0,0,0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,
750,0-2,Bias-aware/Honest,14753,14748,14748,0,0.9996610858808378,0.9996610858808378,0.9997965825874695,0.9997965825874695,0.9997965825874695,,0.00011743115228928133,0.9994577374093405,0.6303570924193327,0.6325326056026888,0.7411316877252154,0.7752055208117639,0.0,0.9996610858808378,0.0,1.9996610858808377,1.9996610858808377,4.814410628346777,45.34691249237443,37.65925574459432,120.3372195485664,78.25689690232495
750,3-4,Bias-aware/Honest,16990,16990,16990,0,1.0,1.0,0.9987051206592114,0.9987051206592114,0.9987051206592114,,0.00027589040699781917,0.9987051206592114,0.49337609213644673,0.4888394675451248,0.6231890153571273,0.6987913238543587,0.0,1.0,0.0,3.3539729252501473,3.3539729252501473,7.463272513243084,49.940788699234844,40.85962330782814,120.98610947616245,78.70847557386698
