n,regime,scenario,delta,variable,comparison,n_pairs,mean_diff,se_diff
500,fixed_delta_0.01,F_delta_0.01,0.01,covered,RBC MSE - Conventional MSE,5000,0.0756,0.0041737767168856165
500,fixed_delta_0.015,F_delta_0.015,0.015,covered,RBC MSE - Conventional MSE,5000,0.0866,0.004506012519930005
500,fixed_delta_0.02,F_delta_0.02,0.02,covered,RBC MSE - Conventional MSE,5000,0.0926,0.0046053544769074604
500,fixed_delta_0.025,F_delta_0.025,0.025,covered,RBC MSE - Conventional MSE,5000,0.1004,0.004848573989736238
500,fixed_delta_0.03,F_delta_0.03,0.03,covered,RBC MSE - Conventional MSE,5000,0.108,0.005027151723480223
500,fixed_delta_0.035,F_delta_0.035,0.035,covered,RBC MSE - Conventional MSE,5000,0.1364,0.0053483388959366775
500,fixed_delta_0.04,F_delta_0.04,0.04,covered,RBC MSE - Conventional MSE,5000,0.1522,0.005568952742386074
500,fixed_delta_0.045,F_delta_0.045,0.045,covered,RBC MSE - Conventional MSE,5000,0.141,0.005519954164555694
500,fixed_delta_0.05,F_delta_0.05,0.05,covered,RBC MSE - Conventional MSE,4998,0.1872749099639856,0.006058475359808282
500,fixed_delta_0.055,F_delta_0.055,0.055,covered,RBC MSE - Conventional MSE,4991,0.2821077940292527,0.006779837395053284
500,fixed_delta_0.06,F_delta_0.06,0.06,covered,RBC MSE - Conventional MSE,4955,0.425832492431887,0.007225341247336115
500,fixed_delta_0.065,F_delta_0.065,0.065,covered,RBC MSE - Conventional MSE,4865,0.5630010277492292,0.007229964152610693
500,fixed_delta_0.07,F_delta_0.07,0.07,covered,RBC MSE - Conventional MSE,4668,0.6921593830334191,0.006790775966164553
500,fixed_delta_0.075,F_delta_0.075,0.075,covered,RBC MSE - Conventional MSE,4285,0.7561260210035006,0.006569072164990462
500,fixed_delta_0.08,F_delta_0.08,0.08,covered,RBC MSE - Conventional MSE,3694,0.7517596101786681,0.007108632500011759
500,fixed_delta_0.09,F_delta_0.09,0.09,covered,RBC MSE - Conventional MSE,2636,0.5895295902883156,0.009583042670102451
