n,method,regime,scenario,delta,variable,comparison,n_pairs,mean_diff,se_diff
500,Bias-aware/Honest,fixed_delta_0.01,F_delta_0.01,0.01,covered,F_delta_0.01 - continuous,5000,0.0018,0.000774255703484886
500,Bias-aware/Honest,fixed_delta_0.015,F_delta_0.015,0.015,covered,F_delta_0.015 - continuous,5000,0.0022,0.0008241163956424561
500,Bias-aware/Honest,fixed_delta_0.02,F_delta_0.02,0.02,covered,F_delta_0.02 - continuous,5000,0.0012,0.0007482138496398998
500,Bias-aware/Honest,fixed_delta_0.025,F_delta_0.025,0.025,covered,F_delta_0.025 - continuous,5000,0.0026,0.0008710911318294949
500,Bias-aware/Honest,fixed_delta_0.03,F_delta_0.03,0.03,covered,F_delta_0.03 - continuous,5000,0.0022,0.0009160785119016785
500,Bias-aware/Honest,fixed_delta_0.035,F_delta_0.035,0.035,covered,F_delta_0.035 - continuous,5000,0.0028,0.000979093317689866
500,Bias-aware/Honest,fixed_delta_0.04,F_delta_0.04,0.04,covered,F_delta_0.04 - continuous,5000,0.0038,0.0009150297568337205
500,Bias-aware/Honest,fixed_delta_0.045,F_delta_0.045,0.045,covered,F_delta_0.045 - continuous,5000,0.004,0.000936469644504837
500,Bias-aware/Honest,fixed_delta_0.05,F_delta_0.05,0.05,covered,F_delta_0.05 - continuous,4998,0.004001600640256103,0.0008930823725664472
500,Bias-aware/Honest,fixed_delta_0.055,F_delta_0.055,0.055,covered,F_delta_0.055 - continuous,4991,0.004207573632538569,0.0009163259779843227
500,Bias-aware/Honest,fixed_delta_0.06,F_delta_0.06,0.06,covered,F_delta_0.06 - continuous,4955,0.004036326942482341,0.0009008177112541192
500,Bias-aware/Honest,fixed_delta_0.065,F_delta_0.065,0.065,covered,F_delta_0.065 - continuous,4865,0.0041109969167523125,0.0009174496953420928
500,Bias-aware/Honest,fixed_delta_0.07,F_delta_0.07,0.07,covered,F_delta_0.07 - continuous,4668,0.0038560411311053984,0.0009072207631863022
500,Bias-aware/Honest,fixed_delta_0.075,F_delta_0.075,0.075,covered,F_delta_0.075 - continuous,4285,0.0039673278879813305,0.0009604198084930809
500,Bias-aware/Honest,fixed_delta_0.08,F_delta_0.08,0.08,covered,F_delta_0.08 - continuous,3694,0.003519220357336221,0.0009744690272292761
500,Bias-aware/Honest,fixed_delta_0.09,F_delta_0.09,0.09,covered,F_delta_0.09 - continuous,2636,0.00417298937784522,0.0012558138855655954
500,Bias-aware/Honest,fixed_delta_0.1,F_delta_0.1,0.1,covered,F_delta_0.1 - continuous,2101,0.00475963826749167,0.0015019010352049383
500,Bias-aware/Honest,fixed_delta_0.12,F_delta_0.12,0.12,covered,F_delta_0.12 - continuous,48,0.020833333333333332,0.020833333333333332
500,Bias-aware/Honest,shrinking_delta,S_shrink_delta_0.0500,0.05,covered,S_shrink_delta_0.0500 - continuous,4998,0.004001600640256103,0.0008930823725664472
500,Conventional MSE,fixed_delta_0.01,F_delta_0.01,0.01,covered,F_delta_0.01 - continuous,5000,-0.0012,0.00278590456635732
500,Conventional MSE,fixed_delta_0.015,F_delta_0.015,0.015,covered,F_delta_0.015 - continuous,5000,-0.0198,0.003341231025378669
500,Conventional MSE,fixed_delta_0.02,F_delta_0.02,0.02,covered,F_delta_0.02 - continuous,5000,-0.0258,0.0036646361226706143
500,Conventional MSE,fixed_delta_0.025,F_delta_0.025,0.025,covered,F_delta_0.025 - continuous,5000,-0.0422,0.003990866748399487
500,Conventional MSE,fixed_delta_0.03,F_delta_0.03,0.03,covered,F_delta_0.03 - continuous,5000,-0.0556,0.00459847335443387
500,Conventional MSE,fixed_delta_0.035,F_delta_0.035,0.035,covered,F_delta_0.035 - continuous,5000,-0.0784,0.004993563370482746
500,Conventional MSE,fixed_delta_0.04,F_delta_0.04,0.04,covered,F_delta_0.04 - continuous,5000,-0.0964,0.005312913834298665
500,Conventional MSE,fixed_delta_0.045,F_delta_0.045,0.045,covered,F_delta_0.045 - continuous,5000,-0.0844,0.005353602545206584
500,Conventional MSE,fixed_delta_0.05,F_delta_0.05,0.05,covered,F_delta_0.05 - continuous,4998,-0.1332533013205282,0.005919896013511674
500,Conventional MSE,fixed_delta_0.055,F_delta_0.055,0.055,covered,F_delta_0.055 - continuous,4991,-0.2294129432979363,0.006712970135881843
500,Conventional MSE,fixed_delta_0.06,F_delta_0.06,0.06,covered,F_delta_0.06 - continuous,4955,-0.3790110998990918,0.007361417368985762
500,Conventional MSE,fixed_delta_0.065,F_delta_0.065,0.065,covered,F_delta_0.065 - continuous,4865,-0.5321685508735868,0.007466545007107724
500,Conventional MSE,fixed_delta_0.07,F_delta_0.07,0.07,covered,F_delta_0.07 - continuous,4668,-0.6825192802056556,0.007019649054829344
500,Conventional MSE,fixed_delta_0.075,F_delta_0.075,0.075,covered,F_delta_0.075 - continuous,4285,-0.7887981330221704,0.006348561162212523
500,Conventional MSE,fixed_delta_0.08,F_delta_0.08,0.08,covered,F_delta_0.08 - continuous,3694,-0.8340552246886843,0.006133908837921123
500,Conventional MSE,fixed_delta_0.09,F_delta_0.09,0.09,covered,F_delta_0.09 - continuous,2636,-0.8444613050075872,0.0070602290804809625
500,Conventional MSE,fixed_delta_0.1,F_delta_0.1,0.1,covered,F_delta_0.1 - continuous,2101,-0.846263683960019,0.007871027680539986
500,Conventional MSE,fixed_delta_0.12,F_delta_0.12,0.12,covered,F_delta_0.12 - continuous,48,-0.75,0.06316139407998893
500,Conventional MSE,shrinking_delta,S_shrink_delta_0.0500,0.05,covered,S_shrink_delta_0.0500 - continuous,4998,-0.1332533013205282,0.005919896013511674
500,RBC MSE,fixed_delta_0.01,F_delta_0.01,0.01,covered,F_delta_0.01 - continuous,5000,0.0094,0.002250186807385917
500,RBC MSE,fixed_delta_0.015,F_delta_0.015,0.015,covered,F_delta_0.015 - continuous,5000,0.0018,0.0026307292044658354
500,RBC MSE,fixed_delta_0.02,F_delta_0.02,0.02,covered,F_delta_0.02 - continuous,5000,0.0018,0.002891543567861458
