n,regime,scenario,delta,n_with_diagnostics,rbc_min_support_rate,rbc_support_adequate_rate,h_left_mean,h_left_median,h_left_min,h_left_max,h_right_mean,h_right_median,h_right_min,h_right_max,b_left_mean,b_left_median,b_left_min,b_left_max,b_right_mean,b_right_median,b_right_min,b_right_max,unique_h_left_mean,unique_h_left_median,unique_h_left_min,unique_h_left_max,unique_h_right_mean,unique_h_right_median,unique_h_right_min,unique_h_right_max,unique_b_left_mean,unique_b_left_median,unique_b_left_min,unique_b_left_max,unique_b_right_mean,unique_b_right_median,unique_b_right_min,unique_b_right_max,obs_h_left_mean,obs_h_left_median,obs_h_left_min,obs_h_left_max,obs_h_right_mean,obs_h_right_median,obs_h_right_min,obs_h_right_max,obs_b_left_mean,obs_b_left_median,obs_b_left_min,obs_b_left_max,obs_b_right_mean,obs_b_right_median,obs_b_right_min,obs_b_right_max,min_unique_h_mean,min_unique_h_median,min_unique_h_min,min_unique_h_max,min_unique_b_mean,min_unique_b_median,min_unique_b_min,min_unique_b_max,h_over_delta_left_mean,h_over_delta_left_median,h_over_delta_left_min,h_over_delta_left_max,h_over_delta_right_mean,h_over_delta_right_median,h_over_delta_right_min,h_over_delta_right_max,b_over_delta_left_mean,b_over_delta_left_median,b_over_delta_left_min,b_over_delta_left_max,b_over_delta_right_mean,b_over_delta_right_median,b_over_delta_right_min,b_over_delta_right_max,nearest_support_distance_mean,nearest_support_distance_median,nearest_support_distance_min,nearest_support_distance_max,M_left_rdrobust_mean,M_left_rdrobust_median,M_left_rdrobust_min,M_left_rdrobust_max,M_right_rdrobust_mean,M_right_rdrobust_median,M_right_rdrobust_min,M_right_rdrobust_max
500,continuous,C0_continuous,,5000,1.0,1.0,0.09988388405629504,0.0994666012866262,0.0624048704925452,0.1548933103110101,0.09988388405629504,0.0994666012866262,0.0624048704925452,0.1548933103110101,0.22177299115517093,0.2212234332537586,0.1375819113969382,0.3185846089769555,0.22177299115517093,0.2212234332537586,0.1375819113969382,0.3185846089769555,34.3498,34.0,12.0,70.0,27.9388,28.0,10.0,50.0,84.249,84.0,42.0,153.0,53.7952,54.0,25.0,84.0,34.3498,34.0,12.0,70.0,27.9388,28.0,10.0,50.0,84.249,84.0,42.0,153.0,53.7952,54.0,25.0,84.0,26.9852,27.0,10.0,47.0,53.7648,54.0,25.0,82.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,406.3308,406.0,375.0,446.0,93.6692,94.0,54.0,125.0
750,continuous,C0_continuous,,5000,1.0,1.0,0.09021943289357887,0.08984007939691019,0.0614894123340538,0.1397277482063343,0.09021943289357887,0.08984007939691019,0.0614894123340538,0.1397277482063343,0.2061603547194097,0.2057277145603933,0.1461631259160707,0.2811284390158342,0.2061603547194097,0.2057277145603933,0.1461631259160707,0.2811284390158342,46.0128,46.0,18.0,82.0,38.2152,38.0,18.0,67.0,116.1324,116.0,67.0,192.0,76.5192,77.0,45.0,111.0,46.0128,46.0,18.0,82.0,38.2152,38.0,18.0,67.0,116.1324,116.0,67.0,192.0,76.5192,77.0,45.0,111.0,37.1618,37.0,18.0,64.0,76.5026,77.0,45.0,111.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,609.634,610.0,572.0,651.0,140.366,140.0,99.0,178.0
1000,continuous,C0_continuous,,5000,1.0,1.0,0.08438303744298338,0.0841328294430322,0.0571914953550385,0.1262568527658374,0.08438303744298338,0.0841328294430322,0.0571914953550385,0.1262568527658374,0.1966891899565957,0.1963750872584533,0.1467847391193454,0.2619444508946405,0.1966891899565957,0.1963750872584533,0.1467847391193454,0.2619444508946405,57.1004,57.0,24.0,97.0,47.9422,48.0,22.0,84.0,146.6756,146.0,88.0,236.0,98.5662,98.0,64.0,139.0,57.1004,57.0,24.0,97.0,47.9422,48.0,22.0,84.0,146.6756,146.0,88.0,236.0,98.5662,98.0,64.0,139.0,46.8462,47.0,22.0,76.0,98.5532,98.0,64.0,139.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,812.9626,813.0,766.0,860.0,187.0374,187.0,140.0,234.0
1500,continuous,C0_continuous,,5000,1.0,1.0,0.07692217569421957,0.07670724589175551,0.056070423011046,0.1054697279123847,0.07692217569421957,0.07670724589175551,0.056070423011046,0.1054697279123847,0.18439542630446865,0.18381788071319535,0.1370045029632176,0.2326048975949556,0.18439542630446865,0.18381788071319535,0.1370045029632176,0.2326048975949556,77.5596,77.0,41.0,123.0,66.2056,66.0,34.0,109.0,204.1298,203.0,113.0,280.0,140.8594,141.0,98.0,207.0,77.5596,77.0,41.0,123.0,66.2056,66.0,34.0,109.0,204.1298,203.0,113.0,280.0,140.8594,141.0,98.0,207.0,65.074,65.0,34.0,100.0,140.8564,141.0,98.0,207.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1219.188,1219.0,1164.0,1278.0,280.812,281.0,222.0,336.0
2000,continuous,C0_continuous,,5000,1.0,1.0,0.07214281078367457,0.07187213974287035,0.0519626380075581,0.0955927096441078,0.07214281078367457,0.07187213974287035,0.0519626380075581,0.0955927096441078,0.17626512949763493,0.17576092408247102,0.1383028564171576,0.2167993211194284,0.17626512949763493,0.17576092408247102,0.1383028564171576,0.2167993211194284,96.6186,96.0,54.0,159.0,83.3404,83.0,41.0,129.0,258.5146,257.0,160.0,352.0,181.4696,181.0,131.0,244.0,96.6186,96.0,54.0,159.0,83.3404,83.0,41.0,129.0,258.5146,257.0,160.0,352.0,181.4696,181.0,131.0,244.0,82.165,82.0,41.0,122.0,181.4696,181.0,131.0,244.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1625.5094,1626.0,1562.0,1682.0,374.4906,374.0,318.0,438.0
3000,continuous,C0_continuous,,5000,1.0,1.0,0.06588439759805775,0.065729387438907,0.0495083459550316,0.0866069459593158,0.06588439759805775,0.065729387438907,0.0495083459550316,0.0866069459593158,0.16531695773893237,0.16490565254128026,0.1324783259974459,0.2069842691085753,0.16531695773893237,0.16490565254128026,0.1324783259974459,0.2069842691085753,131.5684,131.0,85.0,188.0,114.9968,115.0,56.0,168.0,360.3392,359.0,259.0,481.0,258.625,258.0,194.0,333.0,131.5684,131.0,85.0,188.0,114.9968,115.0,56.0,168.0,360.3392,359.0,259.0,481.0,258.625,258.0,194.0,333.0,113.807,114.0,56.0,156.0,258.625,258.0,194.0,333.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2438.0514,2438.0,2364.0,2511.0,561.9486,562.0,489.0,636.0
4000,continuous,C0_continuous,,5000,1.0,1.0,0.06185743998818635,0.061715859272816795,0.0460524660324986,0.0786853579802763,0.06185743998818635,0.061715859272816795,0.0460524660324986,0.0786853579802763,0.1580986020829018,0.15759278565851445,0.1308323935465391,0.1992314769383613,0.1580986020829018,0.15759278565851445,0.1308323935465391,0.1992314769383613,164.001,164.0,107.0,229.0,144.5414,144.0,81.0,196.0,456.786,455.0,348.0,598.0,332.5848,332.0,258.0,413.0,164.001,164.0,107.0,229.0,144.5414,144.0,81.0,196.0,456.786,455.0,348.0,598.0,332.5848,332.0,258.0,413.0,143.3184,143.0,81.0,191.0,332.5848,332.0,258.0,413.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3250.931,3251.0,3164.0,3337.0,749.069,749.0,663.0,836.0
5000,continuous,C0_continuous,,5000,1.0,1.0,0.058856944884315886,0.058812091219240054,0.0446304251518186,0.074081957025358,0.058856944884315886,0.058812091219240054,0.0446304251518186,0.074081957025358,0.15261537254348637,0.15212566828973378,0.1297188542423325,0.1852256035788682,0.15261537254348637,0.15212566828973378,0.1297188542423325,0.1852256035788682,194.6706,194.0,128.0,270.0,172.6998,172.0,112.0,230.0,548.7006,547.0,403.0,739.0,404.0726,403.0,314.0,505.0,194.6706,194.0,128.0,270.0,172.6998,172.0,112.0,230.0,548.7006,547.0,403.0,739.0,404.0726,403.0,314.0,505.0,171.4614,171.0,112.0,228.0,404.0726,403.0,314.0,505.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,4063.6142,4064.0,3947.0,4160.0,936.3858,936.0,840.0,1053.0
500,fixed_delta_0.01,F_delta_0.01,0.01,5000,1.0,1.0,0.10331710291408461,0.10300793828503066,0.069213290284869,0.1490084275972623,0.10331710291408461,0.10300793828503066,0.069213290284869,0.1490084275972623,0.22636151951011566,0.22558323197044505,0.1534573042005907,0.3393206255667507,0.22636151951011566,0.22558323197044505,0.1534573042005907,0.3393206255667507,9.9962,10.0,5.0,15.0,9.6688,10.0,4.0,14.0,22.1078,22.0,15.0,33.0,20.44,20.0,12.0,28.0,35.6308,35.0,11.0,71.0,28.7668,29.0,10.0,54.0,86.3562,86.0,45.0,162.0,54.7676,55.0,26.0,86.0,9.4814,9.0,4.0,14.0,20.3476,20.0,12.0,28.0,10.331710291408466,10.30079382850307,6.9213290284869045,14.900842759726237,10.331710291408466,10.30079382850307,6.9213290284869045,14.900842759726237,22.636151951011566,22.55832319704451,15.345730420059072,33.93206255667507,22.636151951011566,22.55832319704451,15.345730420059072,33.93206255667507,0.005024,0.005,0.005,0.015,94.5246,95.0,88.0,100.0,45.098,45.0,32.0,57.0
750,fixed_delta_0.01,F_delta_0.01,0.01,5000,1.0,1.0,0.09309256433501979,0.0928945223095274,0.0644603723802316,0.1313939362014845,0.09309256433501979,0.0928945223095274,0.0644603723802316,0.1313939362014845,0.2102086331425147,0.21010060499404232,0.148498044760183,0.2756970706604169,0.2102086331425147,0.21010060499404232,0.148498044760183,0.2756970706604169,9.2552,9.0,6.0,13.0,9.1732,9.0,6.0,13.0,20.9392,21.0,15.0,28.0,20.4122,20.0,14.0,27.0,47.6314,47.0,18.0,78.0,39.2748,39.0,19.0,69.0,118.761,118.0,67.0,203.0,77.8086,78.0,45.0,115.0,9.126,9.0,6.0,13.0,20.3682,20.0,14.0,27.0,9.309256433501984,9.289452230952744,6.446037238023165,13.139393620148454,9.309256433501984,9.289452230952744,6.446037238023165,13.139393620148454,21.020863314251475,21.010060499404236,14.849804476018308,27.569707066041687,21.020863314251475,21.010060499404236,14.849804476018308,27.569707066041687,0.005002,0.005,0.005,0.015,96.9532,97.0,91.0,100.0,52.7804,53.0,40.0,64.0
