n,regime,scenario,delta,in_general,in_frontier,design_scope,method,n_total,n_raw_success,raw_success_rate,raw_failure_rate,n_minimal_usable,minimal_usability_rate,n_nonusable,nonusable_rate,n_support_adequate,support_adequacy_rate,n_rbc_support_adequate,rbc_support_adequacy_rate,n_formal_support_ok,formal_support_ok_rate,n_frontier_display_ok,frontier_display_ok_rate,coverage_conditional_on_raw_success,coverage_conditional_on_minimal_usable,coverage_unconditional,coverage,coverage_mc_se,bias,abs_bias_over_avg_se,sd,rmse,avg_length,median_length,p90_length,p95_length,p99_length,trimmed_mean_length,pathological_length_rate,avg_estimate,avg_se,miss_below_rate,miss_above_rate,avg_h_left,avg_h_right,avg_b_left,avg_b_right,avg_local_support_score,avg_min_unique_h,avg_min_unique_b,avg_unique_h_left,avg_unique_h_right,avg_unique_b_left,avg_unique_b_right,avg_h_over_delta_left,avg_h_over_delta_right,avg_b_over_delta_left,avg_b_over_delta_right,avg_nearest_support_distance,avg_mass_share_h_left,avg_mass_share_h_right,avg_mass_share_b_left,avg_mass_share_b_right,avg_bias_bound,delta_plot,delta_label_plot,coverage_display_ok,min_display_usable
500,continuous,C0_continuous,,True,True,both,Bias-aware/Honest,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,5000,1.0,5000,1.0,4627,0.9254,0.9956,0.9956,0.9956,0.9956,0.000936017093861,0.04809569515878421,0.7015741949194626,0.08290788985875153,0.09584121947261211,0.5157700265133552,0.5010788014338661,0.6685134806140967,0.7272118873559348,0.8789095639302145,0.5133010645383917,0.0,-3.401904304841216,0.06855396835726743,0.0016,0.0028,0.09988388405629504,0.09988388405629504,0.22177299115517093,0.22177299115517093,26.9852,26.9852,53.7648,34.3498,27.9388,84.249,53.7952,,,,,0.0,0.0,0.0,0.0,0.0,0.12352170427913488,0.0,0,True,30
750,continuous,C0_continuous,,True,False,general,Bias-aware/Honest,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,5000,1.0,5000,1.0,4992,0.9984,0.9956,0.9956,0.9956,0.9956,0.000936017093861,0.03911931094103386,0.6532457870632914,0.07092041834912212,0.08098777862225895,0.4320598389084207,0.4242357357093449,0.532550452899249,0.5728694649502467,0.676945646819714,0.43068534750532106,0.0,-3.4108806890589665,0.05988452082775343,0.0026,0.0018,0.09021943289357887,0.09021943289357887,0.2061603547194097,0.2061603547194097,37.1618,37.1618,76.5026,46.0128,38.2152,116.1324,76.5192,,,,,0.0,0.0,0.0,0.0,0.0,0.09865841540037472,0.0,0,True,30
1000,continuous,C0_continuous,,True,False,general,Bias-aware/Honest,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,5000,1.0,5000,1.0,5000,1.0,0.9956,0.9956,0.9956,0.9956,0.000936017093861,0.03452256725971804,0.6380155766336955,0.06286312855146459,0.07171325000927974,0.3833077245868517,0.37767109264312904,0.4638993065639298,0.492392961272928,0.5618495553010363,0.38240901264364485,0.0,-3.4154774327402824,0.054109285923497945,0.002,0.0024,0.08438303744298338,0.08438303744298338,0.1966891899565957,0.1966891899565957,46.8462,46.8462,98.5532,57.1004,47.9422,146.6756,98.5662,,,,,0.0,0.0,0.0,0.0,0.0,0.08560161065418967,0.0,0,True,30
1500,continuous,C0_continuous,,True,False,general,Bias-aware/Honest,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,5000,1.0,5000,1.0,5000,1.0,0.9962,0.9962,0.9962,0.9962,0.0008701218305501851,0.028947173589007467,0.6214669216279051,0.05268786854121618,0.06011152258852143,0.3235309637703656,0.32022455086453044,0.3815917842847665,0.40065622799023,0.441106132766422,0.323085142027289,0.0,-3.4210528264109925,0.04657878413412838,0.0018,0.002,0.07692217569421957,0.07692217569421957,0.18439542630446865,0.18439542630446865,65.074,65.074,140.8564,77.5596,66.2056,204.1298,140.8594,,,,,0.0,0.0,0.0,0.0,0.0,0.07047274253862539,0.0,0,True,30
2000,continuous,C0_continuous,,True,False,general,Bias-aware/Honest,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,5000,1.0,5000,1.0,5000,1.0,0.9954,0.9954,0.9954,0.9954,0.000956957679315031,0.026110498199504208,0.6247010055704861,0.046239427451276856,0.053098165225532984,0.28729306390566794,0.2844837245179388,0.33346622314911467,0.3486466922064429,0.3790320189058588,0.28698197521018615,0.0,-3.423889501800496,0.041796792332132904,0.0022,0.0024,0.07214281078367457,0.07214281078367457,0.17626512949763493,0.17626512949763493,82.165,82.165,181.4696,96.6186,83.3404,258.5146,181.4696,,,,,0.0,0.0,0.0,0.0,0.0,0.06172632431255347,0.0,0,True,30
3000,continuous,C0_continuous,,True,False,general,Bias-aware/Honest,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,5000,1.0,5000,1.0,5000,1.0,0.9972,0.9972,0.9972,0.9972,0.000747283078893136,0.021784403441123118,0.6085425139278963,0.038804836203339035,0.044498026731429705,0.24283755319597494,0.2413592168767988,0.2746899716240539,0.28588940898894627,0.3084344081006117,0.24263143709458485,0.0,-3.4282155965588776,0.03579766892622438,0.0016,0.0012,0.06588439759805775,0.06588439759805775,0.16531695773893237,0.16531695773893237,113.807,113.807,258.625,131.5684,114.9968,360.3392,258.625,,,,,0.0,0.0,0.0,0.0,0.0,0.051256634772098936,0.0,0,True,30
4000,continuous,C0_continuous,,True,False,general,Bias-aware/Honest,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,5000,1.0,5000,1.0,5000,1.0,0.9976,0.9976,0.9976,0.9976,0.0006919884392097831,0.0195082744219461,0.6081013490996885,0.034271139747818515,0.03943157222749985,0.21593351420270387,0.2148887944511259,0.24166120761570048,0.2500925571175081,0.2673758421534772,0.215821334624437,0.0,-3.4304917255780545,0.03208063006409813,0.0018,0.0006,0.06185743998818635,0.06185743998818635,0.1580986020829018,0.1580986020829018,143.3184,143.3184,332.5848,164.001,144.5414,456.786,332.5848,,,,,0.0,0.0,0.0,0.0,0.0,0.04508987757436662,0.0,0,True,30
5000,continuous,C0_continuous,,True,False,general,Bias-aware/Honest,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,5000,1.0,5000,1.0,5000,1.0,0.9984,0.9984,0.9984,0.9984,0.0005652326954449903,0.01773954553442049,0.6030149624373998,0.031177729614469483,0.03586848044615161,0.19688019138545157,0.19589085889043464,0.2185954033422028,0.22596427915873174,0.23916786186422465,0.19678335031309388,0.0,-3.4322604544655797,0.029418085187665748,0.0008,0.0008,0.058856944884315886,0.058856944884315886,0.15261537254348637,0.15261537254348637,171.4614,171.4614,404.0726,194.6706,172.6998,548.7006,404.0726,,,,,0.0,0.0,0.0,0.0,0.0,0.04078170823076957,0.0,0,True,30
500,fixed_delta_0.01,F_delta_0.01,0.01,True,True,both,Bias-aware/Honest,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,5000,1.0,5000,1.0,4721,0.9442,0.9974,0.9974,0.9974,0.9974,0.0007201722016295889,0.05249572030734596,0.7725980742698753,0.08187042989919276,0.09724827704904261,0.5323544296857775,0.5168337655534652,0.6817864277388984,0.7467579163368562,0.8902286799686756,0.5299089795776161,0.0,-3.3975042796926544,0.06794699864733127,0.0014,0.0012,0.10331710291408461,0.10331710291408461,0.22636151951011566,0.22636151951011566,9.4814,9.4814,20.3476,9.9962,9.6688,22.1078,20.44,10.331710291408466,10.331710291408466,22.636151951011566,22.636151951011566,0.005024,0.7124202157337012,0.6548061894865199,0.7412505461929121,0.6226519012980462,0.13300354463652755,0.01,0.01,True,30
750,fixed_delta_0.01,F_delta_0.01,0.01,True,False,general,Bias-aware/Honest,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,5000,1.0,5000,1.0,4996,0.9992,0.996,0.996,0.996,0.996,0.0008926365441768563,0.04302596961689797,0.7246450282022214,0.0700858695436039,0.08223308802018413,0.44552564045610105,0.4366174112842405,0.5477594279159118,0.5841134584734056,0.6820419607229468,0.4440262746474202,0.0,-3.406974030383102,0.05937523607060617,0.0022,0.0018,0.09309256433501979,0.09309256433501979,0.2102086331425147,0.2102086331425147,9.126,9.126,20.3682,9.2552,9.1732,20.9392,20.4122,9.309256433501984,9.309256433501984,21.020863314251475,21.020863314251475,0.005002,0.8016131449394148,0.7610164236365566,0.8221672118304901,0.7352812061027597,0.10638949595609878,0.01,0.01,True,30
